repo,quarter,quarter_start,n_prs,median_ttm_days
ClimaAtmos,2025-Q4,2025-10-01,97,1.202210648148148
ClimaAtmos,2026-Q1,2026-01-01,135,1.0159375
ClimaAtmos,2026-Q2,2026-04-01,75,0.9625115740740741
ClimaCalibrate,2023-Q3,2023-07-01,2,6.399982638888889
ClimaCalibrate,2023-Q4,2023-10-01,5,0.17530092592592592
ClimaCalibrate,2024-Q1,2024-01-01,16,2.381759259259259
ClimaCalibrate,2024-Q2,2024-04-01,15,0.09775462962962964
ClimaCalibrate,2024-Q3,2024-07-01,7,0.0990162037037037
ClimaCalibrate,2024-Q4,2024-10-01,9,0.1992824074074074
ClimaCalibrate,2025-Q1,2025-01-01,16,0.7676678240740741
ClimaCalibrate,2025-Q2,2025-04-01,17,0.8761458333333333
ClimaCalibrate,2025-Q3,2025-07-01,12,13.645462962962963
ClimaCalibrate,2025-Q4,2025-10-01,15,4.060104166666667
ClimaCalibrate,2026-Q1,2026-01-01,10,4.701666666666667
ClimaCalibrate,2026-Q2,2026-04-01,12,4.000295138888889
ClimaComms,2021-Q4,2021-10-01,3,1.8977546296296297
ClimaComms,2022-Q1,2022-01-01,7,0.03305555555555555
ClimaComms,2022-Q2,2022-04-01,2,0.008755787037037038
ClimaComms,2022-Q4,2022-10-01,8,0.18097800925925928
ClimaComms,2023-Q1,2023-01-01,12,0.07929398148148148
ClimaComms,2023-Q2,2023-04-01,6,0.5539409722222223
ClimaComms,2023-Q3,2023-07-01,5,0.04109953703703704
ClimaComms,2023-Q4,2023-10-01,2,1.6225462962962964
ClimaComms,2024-Q1,2024-01-01,2,1.0327199074074074
ClimaComms,2024-Q2,2024-04-01,5,1.0395833333333333
ClimaComms,2024-Q3,2024-07-01,5,0.08795138888888888
ClimaComms,2024-Q4,2024-10-01,2,0.3197627314814815
ClimaComms,2025-Q1,2025-01-01,4,11.631637731481481
ClimaComms,2025-Q2,2025-04-01,5,4.96318287037037
ClimaComms,2025-Q3,2025-07-01,4,0.11387152777777779
ClimaComms,2025-Q4,2025-10-01,1,0.023993055555555556
ClimaComms,2026-Q1,2026-01-01,5,1.1559606481481481
ClimaComms,2026-Q2,2026-04-01,3,0.05762731481481481
ClimaCore,2021-Q2,2021-04-01,34,0.19508680555555555
ClimaCore,2021-Q3,2021-07-01,70,0.29150462962962964
ClimaCore,2021-Q4,2021-10-01,103,0.2705208333333333
ClimaCore,2022-Q1,2022-01-01,145,0.7414930555555556
ClimaCore,2022-Q2,2022-04-01,85,0.9070254629629629
ClimaCore,2022-Q3,2022-07-01,106,0.3612094907407407
ClimaCore,2022-Q4,2022-10-01,66,0.18072916666666666
ClimaCore,2023-Q1,2023-01-01,46,0.8842534722222222
ClimaCore,2023-Q2,2023-04-01,107,0.8178587962962963
ClimaCore,2023-Q3,2023-07-01,62,1.8136168981481482
ClimaCore,2023-Q4,2023-10-01,71,0.673125
ClimaCore,2024-Q1,2024-01-01,47,0.408125
ClimaCore,2024-Q2,2024-04-01,103,0.08703703703703704
ClimaCore,2024-Q3,2024-07-01,99,0.11623842592592593
ClimaCore,2024-Q4,2024-10-01,54,0.7334548611111111
ClimaCore,2025-Q1,2025-01-01,90,0.7217476851851852
ClimaCore,2025-Q2,2025-04-01,47,0.46782407407407406
ClimaCore,2025-Q3,2025-07-01,12,0.7395081018518518
ClimaCore,2025-Q4,2025-10-01,12,2.1311747685185187
ClimaCore,2026-Q1,2026-01-01,28,0.718130787037037
ClimaCore,2026-Q2,2026-04-01,22,2.7088483796296297
ClimaCoupler,2021-Q2,2021-04-01,8,4.716527777777777
ClimaCoupler,2021-Q3,2021-07-01,6,8.485046296296296
ClimaCoupler,2021-Q4,2021-10-01,9,0.26362268518518517
ClimaCoupler,2022-Q1,2022-01-01,1,0.015196759259259259
ClimaCoupler,2022-Q2,2022-04-01,13,12.033252314814815
ClimaCoupler,2022-Q3,2022-07-01,21,1.8320370370370371
ClimaCoupler,2022-Q4,2022-10-01,13,1.1855439814814814
ClimaCoupler,2023-Q1,2023-01-01,26,3.6077719907407406
ClimaCoupler,2023-Q2,2023-04-01,14,2.3454224537037036
